INSERT INTO idol_mobs__mob_incompatibleidols
    (idol_mobs, mob_incompatibleIdols) 
VALUES
(51, 423),
(32, 423),
(34, 423),
(33, 423),
(31, 423),
(30, 423),
(85, 605),
(87, 605),
(86, 605),
(32, 605),
(84, 605),
(33, 605),
(34, 605),
(31, 605),
(58, 605),
(60, 605),
(59, 605),
(57, 605),
(30, 605),
(88, 1045),
(19, 1086),
(21, 1086),
(20, 1086),
(39, 1086),
(18, 1086),
(40, 1086),
(41, 1086),
(38, 1086),
(11, 1086),
(13, 1086),
(12, 1086),
(10, 1086),
(66, 1086),
(68, 1086),
(67, 1086),
(17, 1086),
(65, 1086),
(16, 1086),
(36, 1086),
(15, 1086),
(14, 1086),
(29, 1086),
(28, 1086),
(27, 1086),
(26, 1086),
(101, 1086),
(81, 1086),
(82, 1086),
(80, 1086),
(62, 1086),
(64, 1086),
(61, 1086),
(63, 1086),
(51, 2854),
(88, 2877),
(88, 2924),
(44, 2968),
(51, 2975),
(35, 2986),
(35, 2992),
(46, 3391),
(45, 3397),
(88, 3409),
(51, 3476),
(88, 3476),
(51, 3484),
(43, 3534),
(42, 3534),
(9, 3534),
(88, 3648),
(69, 3822),
(51, 3822),
(100, 3822),
(98, 3822),
(99, 3822),
(97, 3822),
(79, 3822),
(69, 3823),
(100, 3823),
(98, 3823),
(51, 3823),
(97, 3823),
(88, 3823),
(99, 3823),
(79, 3823),
(51, 3824),
(100, 3824),
(69, 3824),
(98, 3824),
(99, 3824),
(88, 3824),
(97, 3824),
(79, 3824),
(69, 3825),
(100, 3825),
(51, 3825),
(98, 3825),
(97, 3825),
(79, 3825),
(99, 3825),
(88, 3825),
(69, 3826),
(100, 3826),
(99, 3826),
(51, 3826),
(88, 3826),
(98, 3826),
(79, 3826),
(97, 3826),
(69, 3827),
(100, 3827),
(51, 3827),
(98, 3827),
(99, 3827),
(97, 3827),
(88, 3827),
(79, 3827),
(69, 3828),
(51, 3828),
(98, 3828),
(100, 3828),
(97, 3828),
(99, 3828),
(88, 3828),
(79, 3828),
(88, 3835),
(69, 3970),
(51, 3970),
(98, 3970),
(99, 3970),
(100, 3970),
(97, 3970),
(79, 3970),
(66, 4263),
(68, 4263),
(67, 4263),
(65, 4263),
(51, 4726),
(88, 4744),
(85, 4803),
(87, 4803),
(86, 4803),
(32, 4803),
(84, 4803),
(34, 4803),
(33, 4803),
(31, 4803),
(58, 4803),
(60, 4803),
(57, 4803),
(59, 4803),
(30, 4803),
(46, 4855),
(95, 4855),
(96, 4855),
(94, 4855),
(93, 4855),
(46, 4860),
(95, 4860),
(94, 4860),
(93, 4860),
(96, 4860),
(46, 4894),
(95, 4894),
(96, 4894),
(94, 4894),
(93, 4894),
(69, 4948),
(51, 4948),
(98, 4948),
(100, 4948),
(99, 4948),
(97, 4948),
(88, 4948),
(79, 4948),
(69, 4951),
(98, 4951),
(51, 4951),
(100, 4951),
(99, 4951),
(97, 4951),
(79, 4951),
(88, 4951),
(98, 4952),
(69, 4952),
(51, 4952),
(100, 4952),
(99, 4952),
(88, 4952),
(97, 4952),
(79, 4952),
(69, 5212),
(51, 5212),
(99, 5212),
(98, 5212),
(97, 5212),
(100, 5212),
(88, 5212),
(79, 5212),
(51, 5213),
(69, 5213),
(98, 5213),
(97, 5213),
(100, 5213),
(99, 5213),
(79, 5213),
(88, 5213),
(51, 5214),
(100, 5214),
(99, 5214),
(97, 5214),
(69, 5214),
(79, 5214),
(98, 5214),
(88, 5214),
(69, 5215),
(51, 5215),
(98, 5215),
(100, 5215),
(99, 5215),
(97, 5215),
(88, 5215),
(79, 5215);
