INSERT INTO mobgrade
    (id, level, lifePoints, actionPoints, movementPoints, apDodge, mpDodge, wisdom, strength, intelligence, chance, agility, resNeutral, resEarth, resFire, resWater, resAir, reflect, experience, aggressiveLevel, mob) 
VALUES
(1, 16, 90, 5, 2, 0, 0, 48, 0, 0, 0, 0, 1, 6, 6, -9, -9, 0, 2112, 0, 31),
(2, 17, 99, 5, 2, 0, 0, 51, 0, 0, 0, 0, 2, 7, 7, -8, -8, 0, 2278, 0, 31),
(3, 18, 110, 5, 2, 0, 0, 54, 0, 0, 0, 0, 3, 8, 8, -7, -7, 0, 2448, 0, 31),
(4, 19, 120, 5, 2, 0, 0, 57, 0, 0, 0, 0, 4, 9, 9, -6, -6, 0, 2622, 0, 31),
(5, 20, 130, 5, 2, 0, 0, 60, 0, 0, 0, 0, 5, 10, 10, -5, -5, 0, 2800, 0, 31),
(6, 16, 90, 5, 3, 0, 0, 48, 0, 0, 0, 0, 0, 1, -9, 1, 6, 0, 2112, 0, 34),
(7, 17, 99, 5, 3, 0, 0, 51, 0, 0, 0, 0, 0, 2, -8, 2, 7, 0, 2278, 0, 34),
(8, 18, 110, 5, 3, 0, 0, 54, 0, 0, 0, 0, 0, 3, -7, 3, 8, 0, 2448, 0, 34),
(9, 19, 120, 5, 3, 0, 0, 57, 0, 0, 0, 0, 0, 4, -6, 4, 9, 0, 2622, 0, 34),
(10, 20, 130, 5, 3, 0, 0, 60, 0, 0, 0, 0, 0, 5, -5, 5, 10, 0, 2800, 0, 34),
(11, 1, 29, 5, 2, 0, 0, 60, 0, 0, 0, 0, 25, 0, -12, 6, -50, 0, 0, 0, 36),
(12, 2, 49, 5, 2, 0, 0, 65, 0, 0, 0, 0, 30, 0, -10, 7, -45, 0, 0, 0, 36),
(13, 3, 69, 5, 2, 0, 0, 70, 0, 0, 0, 0, 35, 0, -9, 8, -40, 0, 0, 0, 36),
(14, 4, 90, 5, 2, 0, 0, 75, 0, 0, 0, 0, 40, 0, -8, 9, -35, 0, 0, 0, 36),
(16, 6, 200, 5, 4, 0, 0, 100, 0, 0, 0, 0, 50, 0, -6, 12, -25, 0, 0, 0, 36),
(15, 5, 110, 5, 3, 0, 0, 80, 0, 0, 0, 0, 45, 0, -7, 10, -30, 0, 0, 0, 36),
(17, 1, 99, 5, 2, 0, 0, 60, 0, 0, 0, 0, 0, 25, -50, 6, -12, 0, 0, 0, 37),
(18, 2, 130, 5, 3, 0, 0, 65, 0, 0, 0, 0, 5, 30, -45, 7, -10, 0, 0, 0, 37),
(19, 3, 160, 5, 3, 0, 0, 70, 0, 0, 0, 0, 10, 35, -40, 8, -9, 0, 0, 0, 37),
