INSERT INTO state
    (id, name, preventsSpellCast, preventsFight, isSilent, cantBeMoved, cantBePushed, cantDealDamage, cantSwitchPosition, incurable, invulnerable, invulnerableMelee, invulnerableRange) 
VALUES 
(1, "Saoul", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(2, "Chercheur d'âmes", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(3, "Porteur", 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(5, "Désorienté", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(6, "Enraciné", 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0),
(7, "Pesanteur", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0),
(8, "Porté", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(9, "Motivation Sylvestre", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(10, "Apprivoisement", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(11, "Chevauchant", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(12, "Pas sage", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(13, "Vraiment pas sage", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(14, "Enneigé", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(15, "Eveillé", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(16, "Fragilisé", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(17, "Séparé", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(18, "Gelé", 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(19, "Fissuré", 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(26, "Endormi", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(27, "Léopardo", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(28, "Libre", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(29, "Glyphe impaire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(30, "Glyphe paire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(31, "Encre primaire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(32, "Encre secondaire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(33, "Encre tertiaire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(34, "Encre quaternaire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(35, "Envie de tuer", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(36, "Envie de paralyser", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(37, "Envie de maudire", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(38, "Envie d'empoisonner", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(39, "Flou", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(40, "Corrompu", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(41, "Silencieux", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(42, "Affaibli", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(43, "OVNI", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(49, "Goulifié", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(50, "Décisif", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(56, "Invulnérable", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0),
(57, "Compte à rebours - 2", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(58, "Compte à rebours - 1", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(60, "Dévoué", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(61, "Bagarreur", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(63, "Lourd", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(64, "Glyphangueur", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(65, "Oméga", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(66, "Alpha", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(67, "Bêta", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(68, "Gamma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(69, "Delta", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(70, "Alpha de Kordis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(71, "Bêta de Kordis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(72, "Gamma de Kordis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(74, "Zombi", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(76, "Insoignable", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0),
(77, "Faiblesse", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(79, "Seconde", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(80, "Tierce", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(81, "Quarte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(82, "Quinte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(83, "Sixte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(84, "Septième", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(85, "Octave", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(86, "Fulguration", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(87, "Floutage", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(88, "Résuglours", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
(89, "Flamboyant", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0),
